"","periodo","provincia","departamento","titulares","titulares_por2","mes","anio","mes_n"
"1220",2021-12-01,"Misiones","Libertador General San Martín",363,726,"diciembre",2021,12
"1221",2020-05-01,"Misiones","San Ignacio",370,740,"mayo",2020,5
"1222",2020-03-01,"Misiones","San Ignacio",371,742,"marzo",2020,3
"1223",2020-04-01,"Misiones","San Ignacio",371,742,"abril",2020,4
"1224",2020-06-01,"Misiones","San Ignacio",371,742,"junio",2020,6
"1225",2021-01-01,"Misiones","General Manuel Belgrano",372,744,"enero",2021,1
"1226",2020-09-01,"Misiones","San Ignacio",374,748,"septiembre",2020,9
"1227",2020-08-01,"Misiones","San Ignacio",375,750,"agosto",2020,8
"1228",2021-02-01,"Misiones","General Manuel Belgrano",383,766,"febrero",2021,2
"1229",2021-03-01,"Misiones","General Manuel Belgrano",383,766,"marzo",2021,3
"1230",2021-11-01,"Misiones","Leandro N. Alem",387,774,"noviembre",2021,11
"1231",2021-07-01,"Misiones","General Manuel Belgrano",393,786,"julio",2021,7
"1232",2021-04-01,"Misiones","General Manuel Belgrano",394,788,"abril",2021,4
"1233",2021-08-01,"Misiones","General Manuel Belgrano",395,790,"agosto",2021,8
"1234",2021-05-01,"Misiones","General Manuel Belgrano",402,804,"mayo",2021,5
"1235",2021-11-01,"Misiones","General Manuel Belgrano",402,804,"noviembre",2021,11
"1236",2021-09-01,"Misiones","General Manuel Belgrano",403,806,"septiembre",2021,9
"1237",2021-06-01,"Misiones","General Manuel Belgrano",405,810,"junio",2021,6
"1238",2020-12-01,"Misiones","Iguazú",407,814,"diciembre",2020,12
"1239",2021-05-01,"Misiones","General Manuel Belgrano",407,814,"mayo",2021,5
"1240",2021-06-01,"Misiones","General Manuel Belgrano",407,814,"junio",2021,6
"1241",2021-11-01,"Misiones","General Manuel Belgrano",412,824,"noviembre",2021,11
"1242",2021-12-01,"Misiones","General Manuel Belgrano",412,824,"diciembre",2021,12
"1243",2020-11-01,"Misiones","San Ignacio",414,828,"noviembre",2020,11
"1244",2021-10-01,"Misiones","General Manuel Belgrano",414,828,"octubre",2021,10
"1245",2021-12-01,"Misiones","Candelaria",414,828,"diciembre",2021,12
"1246",2020-10-01,"Misiones","San Ignacio",415,830,"octubre",2020,10
"1247",2020-12-01,"Misiones","San Ignacio",419,838,"diciembre",2020,12
"1248",2021-08-01,"Misiones","General Manuel Belgrano",420,840,"agosto",2021,8
"1249",2021-09-01,"Misiones","General Manuel Belgrano",420,840,"septiembre",2021,9
"1250",2020-10-01,"Misiones","San Ignacio",423,846,"octubre",2020,10
"1251",2020-11-01,"Misiones","San Ignacio",423,846,"noviembre",2020,11
"1252",2021-10-01,"Misiones","General Manuel Belgrano",423,846,"octubre",2021,10
"1253",2021-07-01,"Misiones","General Manuel Belgrano",424,848,"julio",2021,7
"1254",2020-12-01,"Misiones","San Ignacio",429,858,"diciembre",2020,12
"1255",2021-12-01,"Misiones","Leandro N. Alem",430,860,"diciembre",2021,12
"1256",2021-01-01,"Misiones","San Ignacio",445,890,"enero",2021,1
"1257",2021-01-01,"Misiones","San Ignacio",465,930,"enero",2021,1
"1258",2021-07-01,"Misiones","San Ignacio",469,938,"julio",2021,7
"1259",2020-08-01,"Misiones","Iguazú",470,940,"agosto",2020,8
"1260",2020-09-01,"Misiones","Iguazú",471,942,"septiembre",2020,9
"1261",2021-02-01,"Misiones","San Ignacio",471,942,"febrero",2021,2
"1262",2021-11-01,"Misiones","General Manuel Belgrano",471,942,"noviembre",2021,11
"1263",2021-01-01,"Misiones","Iguazú",473,946,"enero",2021,1
"1264",2021-03-01,"Misiones","San Ignacio",476,952,"marzo",2021,3
"1265",2021-08-01,"Misiones","San Ignacio",479,958,"agosto",2021,8
"1266",2021-09-01,"Misiones","San Ignacio",484,968,"septiembre",2021,9
"1267",2021-10-01,"Misiones","San Ignacio",486,972,"octubre",2021,10
"1268",2021-02-01,"Misiones","San Ignacio",490,980,"febrero",2021,2
"1269",2021-04-01,"Misiones","San Ignacio",490,980,"abril",2021,4
"1270",2021-03-01,"Misiones","San Ignacio",492,984,"marzo",2021,3
"1271",2021-05-01,"Misiones","San Ignacio",498,996,"mayo",2021,5
"1272",2020-07-01,"Misiones","Montecarlo",503,1006,"julio",2020,7
"1273",2020-03-01,"Misiones","Montecarlo",504,1008,"marzo",2020,3
"1274",2020-04-01,"Misiones","Montecarlo",504,1008,"abril",2020,4
"1275",2020-05-01,"Misiones","Montecarlo",504,1008,"mayo",2020,5
"1276",2021-12-01,"Misiones","General Manuel Belgrano",504,1008,"diciembre",2021,12
"1277",2020-06-01,"Misiones","Montecarlo",505,1010,"junio",2020,6
"1278",2021-06-01,"Misiones","San Ignacio",505,1010,"junio",2021,6
"1279",2021-04-01,"Misiones","San Ignacio",512,1024,"abril",2021,4
"1280",2021-02-01,"Misiones","Iguazú",526,1052,"febrero",2021,2
"1281",2021-03-01,"Misiones","Iguazú",527,1054,"marzo",2021,3
"1282",2021-04-01,"Misiones","Iguazú",532,1064,"abril",2021,4
